userId,movieId,tag,timestamp
1,245,ohsoso,1137407579
1,103,feel-good,1409390241
1,103,inspirational,1409390244
1,103,Robin Williams,1409390251
1,6,overrated,1150006061
2,18,Antonio Banderas,1248000054
2,18,Madonna,1248000066
2,18,multiple storylines,1248000041
3,18,Quentin Tarantino,1248000024
3,237,astronomy,1247353950
3,1,animated,1514919574
4,1,buddy movie,1514919577
4,1,Cartoon,1514919589
4,1,cgi,1514919556
5,1,comedy,1514919569
5,1,computer animation,1514919558
5,1,family,1514919562
6,1,friendship,1514919564
6,1,kids,1514919586
6,1,toy,1514919568
7,1,toys,1514919583
7,6,bank robbery,1466112074
7,6,crime,1466112071
8,6,heists,1466112082
8,6,relationships,1466112065
8,70,absurd,1503902437
9,70,gore,1503902429
9,70,hostage,1503902450
9,70,mexico,1503902454
10,70,plot twist,1503902463
10,70,senseless,1503902446
10,70,vampires,1503902420
10,114,catastrophe,1450618530
11,114,disaster,1450618530
11,114,historical,1450618516
11,114,love story,1450618524
12,114,romance,1450618514
12,114,true story,1450618533
12,136,dystopia,1494711282
13,136,surreal,1494711283
13,157,sci-fi,1514642930
13,157,sea bottom,1514642924
14,157,underwater,1514642926
14,281,atmospheric,1516001845
14,281,black and white,1516001824
15,281,disturbing,1516001834
15,281,go,1516001941
15,281,go game,1516001949
16,281,god,1516001956
16,281,insanity,1516001854
16,281,Judaism,1516001953
17,281,life,1516001890
17,281,math,1516001865
17,281,mathematics,1516001828
18,281,mental illness,1516001819
18,281,numerology,1516001862
18,281,ominous,1516001931
19,281,paranoia,1516001867
19,281,paranoid,1516001838
19,281,philosophy,1516001888
20,281,pseudomathematics,1516001858
20,281,religion,1516001851
20,281,religious,1516001945
21,281,stock market,1516001881
21,281,stylized,1516001840
21,47,David Fincher,1324873009
22,70,George Clooney,1331605356
22,70,hostage,1331605363
22,70,Nudity (Topless - Brief),1331605361
23,70,Robert Rodriguez,1331605365
23,70,vampires,1331605367
23,103,Robin Williams,1386301721
24,136,aliens,1317092578
24,136,amnesia,1317092579
24,136,atmospheric,1317092572
25,136,dystopia,1317092574
25,103,classic,1448642776
25,103,drama,1448642766
26,103,feel-good,1448642785
26,32,complicated,1443347326
26,32,post-apocalyptic,1443347300
27,32,time travel,1443347276
27,174,France,1209866043
27,174,monarchy,1209866082
28,174,Paris,1209866064
28,174,Versailles,1209866052
28,284,after 10 minutes it's unwatchable,1239352421
29,103,great acting,1456938698
29,103,Matt Damon,1456938691
29,103,Robin Williams,1456938688
29,125,black comedy,1330205546
29,125,Coen Brothers,1330205691
29,125,Jeff Bridges,1330205664
29,125,John Turturro,1330205660
29,125,Nudity (Full Frontal),1330205667
29,125,Philip Seymour Hoffman,1330205672
29,228,cheating,1232861117
29,228,Jews,1232861117
30,228,sexuality,1232861117
30,228,violence,1232861117
30,103,genius,1436808862
31,115,James Bond,1445358288
31,21,funny!,1227705750
31,21,Gene Hackman,1227705665
32,21,Hilarious!,1227705709
32,21,hollywood,1227705750
33,21,John Travolta,1227705663
33,21,mafia,1227705661
33,21,satire,1227705750
34,21,satire:Hollywood insiders,1227705668
34,47,disturbing,1305691365
34,47,philosophical,1305691314
35,47,powerful ending,1305691344
35,47,psychology,1305691300
35,47,twist ending,1305691303
36,268,Disney,1536562380
36,268,Eddie Murphy,1536562387
36,268,feminism,1536562390
37,268,feminist,1536562392
37,268,musical,1536562376
37,268,strong female lead,1536562369
38,184,Heather Graham,1453670397
38,255,Adventure,1478920525
